!  Catalog for multiple field center observations in sample file
!  egcent.key

EQUINOX = J2000
SOURCE='4C39.25A'     RA=09:27:03.0139356 DEC=  39:02:20.851844  /
SOURCE='4C39.25B'     RA=09:27:04.0139356 DEC=  39:02:21.851844  /
SOURCE='4C39.25C'     RA=09:27:05.0139356 DEC=  39:02:22.851844  /
SOURCE='4C39.25D'     RA=09:27:06.0139356 DEC=  39:02:23.851844  /
SOURCE='4C39.25E'     RA=09:27:07.0139356 DEC=  39:02:24.851844  /
SOURCE='4C39.25F'     RA=09:27:08.0139356 DEC=  39:02:25.851844  /
SOURCE='4C39.25G'     RA=09:27:09.0139356 DEC=  39:02:26.851844  /
SOURCE='4C39.25H'     RA=09:27:10.0139356 DEC=  39:02:27.851844  /
SOURCE='4C39.25I'     RA=09:27:11.0139356 DEC=  39:02:28.851844  /
SOURCE='4C39.25J'     RA=09:27:12.0139356 DEC=  39:02:29.851844  /
SOURCE='J0925-2027A'  RA=09:25:11.9473770 DEC= -20:27:35.609210  /
SOURCE='J0925-2027B'  RA=09:25:12.9473770 DEC= -20:27:34.609210  /
SOURCE='J0925-2027C'  RA=09:25:13.9473770 DEC= -20:27:33.609210  /
SOURCE='J0925-2027D'  RA=09:25:14.9473770 DEC= -20:27:36.609210  /
SOURCE='J0925-2027E'  RA=09:25:15.9473770 DEC= -20:27:37.609210  /
